step,current_time,current_time_norm,queue_length_norm,avg_waiting_time_norm,max_lateness_risk_norm,urgent_jobs_norm,energy_tariff_norm,energy_tariff,action_type,oven_id,num_panels,reward,action_validation_reward,launch_reward,heating_reward,wait_reward,energy_cost_penalty,lateness_penalty,completion_reward,queue_length,completed_jobs,total_reward,total_energy_cost,total_lateness_penalty,late_jobs_count,terminated,truncated,oven_0_busy,oven_0_heating,oven_0_cooling,oven_0_time_to_completion,oven_0_time_to_ready,oven_0_temperature,oven_1_busy,oven_1_heating,oven_1_cooling,oven_1_time_to_completion,oven_1_time_to_ready,oven_1_temperature
57,57.0,0.039583333,0.36270747,0.4975559,0.9950548,0.800499,0.33333334,0.5,0,0,0,-0.8430077038220254,0.0,0.0,0.0,0.0,0.0,-0.8430077038220254,0.0,38,0,-16.859001937193547,0.0,16.859001937193547,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,58.0,0.04027778,0.36270747,0.50999224,0.9950548,0.8336546,0.33333334,0.5,0,0,0,-0.8719850211855131,0.0,0.0,0.0,0.0,0.0,-0.8719850211855131,0.0,39,0,-17.73098695837906,0.0,17.73098695837906,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,59.0,0.04097222,0.37136024,0.5113307,0.9950548,0.8336546,0.33333334,0.5,0,0,0,-0.8972576819094659,0.0,0.0,0.0,0.0,0.0,-0.8972576819094659,0.0,40,0,-18.628244640288525,0.0,18.628244640288525,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,60.0,0.041666668,0.37994897,0.5129071,0.9950548,0.8336546,0.33333334,0.5,0,0,0,-0.9192220694445736,0.0,0.0,0.0,0.0,0.0,-0.9192220694445736,0.0,41,0,-19.547466709733097,0.0,19.547466709733097,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,61.0,0.04236111,0.38847268,0.5147022,0.9950548,0.8336546,0.33333334,0.5,0,0,0,-0.9375393968137733,0.0,0.0,0.0,0.0,0.0,-0.9375393968137733,0.0,42,0,-20.48500610654687,0.0,20.48500610654687,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
62,62.0,0.043055557,0.39693043,0.5166986,0.9950548,0.8617232,0.33333334,0.5,0,0,0,-0.952848113049572,0.0,0.0,0.0,0.0,0.0,-0.952848113049572,0.0,43,0,-21.437854219596442,0.0,21.437854219596442,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,63.0,0.04375,0.4053213,0.51888025,0.9950548,0.8740533,0.33333334,0.5,0,0,0,-0.9663292384893114,0.0,0.0,0.0,0.0,0.0,-0.9663292384893114,0.0,44,0,-22.404183458085754,0.0,22.404183458085754,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,64.0,0.044444446,0.41364443,0.52123237,0.9950548,0.88535166,0.33333334,0.5,0,0,0,-0.9765435769761139,0.0,0.0,0.0,0.0,0.0,-0.9765435769761139,0.0,44,0,-23.380727035061867,0.0,23.380727035061867,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,65.0,0.045138888,0.41364443,0.5332653,0.9950548,0.90514827,0.33333334,0.5,0,0,0,-0.9836850107018846,0.0,0.0,0.0,0.0,0.0,-0.9836850107018846,0.0,44,0,-24.36441204576375,0.0,24.36441204576375,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,66.0,0.045833334,0.41364443,0.54508626,0.9950548,0.90514827,0.33333334,0.5,0,0,0,-0.9886646658022703,0.0,0.0,0.0,0.0,0.0,-0.9886646658022703,0.0,44,0,-25.353076711566022,0.0,25.353076711566022,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
